"FileName","TotalRowsInFile","VariableName","VariableLabel","DataType","ValueLabels"
"GovernanceSurvey.sav",100,"Q29_10","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice A school board trustee","haven_labelled","1=A school board trustee"
"GovernanceSurvey.sav",100,"Q29_11","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice A member of provincial parliament","haven_labelled","1=A member of provincial parliament"
"GovernanceSurvey.sav",100,"Q29_12","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Selected Choice Other:","haven_labelled","1=Other:"
"GovernanceSurvey.sav",100,"Q29_12_TEXT","If you had a concern
about the upkeep of a local school (e.g. uncut grass, a ripped flag, a sidewalk
not shoveled etc.). Who would you approach to discuss this issue? - Other: - Text","character",""
"GovernanceSurvey.sav",100,"Q30_1","Please rank the
following trustee duties in order of importance: (You can click on the responses, hold, and then slide the responses in order of priority) - Trustees should help parents navigate who to talk to about important issues","haven_labelled","1=1; 2=2; 3=3"
"GovernanceSurvey.sav",100,"Q30_4","Please rank the
following trustee duties in order of importance: (You can click on the responses, hold, and then slide the responses in order of priority) - Trustees should ensure the ideas of the people they represent are considered in board decisions","haven_labelled","1=1; 2=2; 3=3"
"GovernanceSurvey.sav",100,"Q30_5","Please rank the
following trustee duties in order of importance: (You can click on the responses, hold, and then slide the responses in order of priority) - Trustees should be communicating directly with parents about decisions the board makes","haven_labelled","1=1; 2=2; 3=3"
"GovernanceSurvey.sav",100,"Q31","Which of the
following comes closest to your view?","haven_labelled","1=Trustees should focus on policies and leave operational decisions to staff; 4=Trustees should be a"
"GovernanceSurvey.sav",100,"Q32","Which of the
following comes closest to your view?","haven_labelled","1=Trustees should vote the way the majority of people in their area want even if they disagree with "
"GovernanceSurvey.sav",100,"Q33","Which of the
following comes closest to your view?","haven_labelled","2=The system of local school board trustees works well and should be maintained; 4=School board trus"
"GovernanceSurvey.sav",100,"Q34_1","Please tell me if you strongly agree, agree, disagree, or strongly
disagree with each of the following statements. - There should be more professional educators on boards of trustees.","haven_labelled","1=Strongly Agree; 2=Agree; 3=Disagree; 4=Strongly Disagree"
"GovernanceSurvey.sav",100,"Q34_2","Please tell me if you strongly agree, agree, disagree, or strongly
disagree with each of the following statements. - Individual trustees should regularly write articles in the newspaper to keep the community informed about important decisions being made","haven_labelled","1=Strongly Agree; 2=Agree; 3=Disagree; 4=Strongly Disagree"
"GovernanceSurvey.sav",100,"Q34_3","Please tell me if you strongly agree, agree, disagree, or strongly
disagree with each of the following statements. - If parents complain to a trustee it is appropriate for the trustee to overturn staff decisions on occasion","haven_labelled","1=Strongly Agree; 2=Agree; 3=Disagree; 4=Strongly Disagree"
"GovernanceSurvey.sav",100,"Q34_4","Please tell me if you strongly agree, agree, disagree, or strongly
disagree with each of the following statements. - If a student is suspended from school their parents should be able to appeal to the board of trustees to reconsider the suspension","haven_labelled","1=Strongly Agree; 2=Agree; 3=Disagree; 4=Strongly Disagree"
"GovernanceSurvey.sav",100,"Q34_5","Please tell me if you strongly agree, agree, disagree, or strongly
disagree with each of the following statements. - People who send their children to private school should get a tax break","haven_labelled","1=Strongly Agree; 2=Agree; 3=Disagree; 4=Strongly Disagree"
"GovernanceSurvey.sav",100,"Q34_6","Please tell me if you strongly agree, agree, disagree, or strongly
disagree with each of the following statements. - People without children in school should get a tax break","haven_labelled","1=Strongly Agree; 2=Agree; 3=Disagree; 4=Strongly Disagree"
"GovernanceSurvey.sav",100,"Q35","What role should the board of trustees play in school management?","haven_labelled","1=Trustees should play no role in management, they should only focus on general policies; 4=Trustees"
"GovernanceSurvey.sav",100,"Q36_1","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - Teachers","haven_labelled","1=More; 2=Same; 3=Less"
"GovernanceSurvey.sav",100,"Q36_2","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - The Ontario Government","haven_labelled","1=More; 2=Same; 3=Less"
"GovernanceSurvey.sav",100,"Q36_3","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - Elected trustees","haven_labelled","1=More; 2=Same; 3=Less"
"GovernanceSurvey.sav",100,"Q36_4","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - Parents","haven_labelled","1=More; 2=Same; 3=Less"
"GovernanceSurvey.sav",100,"Q36_5","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - School Board Administrators","haven_labelled","1=More; 2=Same; 3=Less"
"GovernanceSurvey.sav",100,"Q36_6","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - Students","haven_labelled","1=More; 2=Same; 3=Less"
"GovernanceSurvey.sav",100,"Q36_7","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - School councils","haven_labelled","1=More; 2=Same; 3=Less"
"GovernanceSurvey.sav",100,"Q36_8","Thinking about the
decisions that directly affect the classroom and the school curriculum, should
each of the following have more, less, or about the same amount of control as
now? - Potential employers","haven_labelled","1=More; 2=Same; 3=Less"
